marker,time,tag,x,y,z,anchors,a_1311,a_1592,a_2713,a_8006,a_18178
0,33:34.1,1,745,1611,0,5,924,191,491,526,637
0,33:34.1,2,735,1655,0,5,923,187,458,524,569
0,33:34.1,3,792,1651,0,5,940,188,489,502,579
0,33:34.2,1,745,1611,0,5,923,192,472,522,635
0,33:34.2,2,735,1655,0,5,924,184,456,524,576
0,33:34.2,3,792,1651,0,5,935,188,489,501,571
0,33:34.2,1,746,1611,0,5,924,193,474,524,639
0,33:34.2,2,734,1656,0,5,919,185,460,525,577
0,33:34.2,3,792,1650,0,5,937,186,492,502,577
0,33:34.3,1,746,1610,0,5,920,192,477,532,639
0,33:34.3,2,734,1656,0,5,920,185,457,523,583
0,33:34.3,3,792,1651,0,5,941,186,487,502,577
0,33:34.3,1,746,1610,0,5,922,194,478,529,642
0,33:34.3,2,734,1656,0,5,924,185,458,523,575
0,33:34.3,3,792,1651,0,5,940,187,492,502,573
0,33:34.3,1,746,1610,0,5,922,195,474,530,642
0,33:34.3,2,734,1655,0,5,923,188,457,522,578
0,33:34.3,3,792,1652,0,5,939,186,489,504,577
0,33:34.4,1,746,1610,0,5,924,195,471,523,636
0,33:34.4,2,735,1655,0,5,922,188,458,523,582
0,33:34.4,3,792,1652,0,5,938,187,489,502,581
0,33:34.4,1,746,1610,0,5,924,193,477,525,634
0,33:34.4,2,734,1655,0,5,927,186,460,520,580
0,33:34.4,3,792,1652,0,5,938,187,489,502,578
0,33:34.5,1,746,1610,0,5,924,199,478,527,641
0,33:34.5,2,734,1656,0,5,925,185,459,526,579
0,33:34.5,3,784,1641,0,5,940,186,489,501,569
0,33:34.5,1,745,1610,0,5,922,193,474,529,639
0,33:34.5,2,734,1656,0,5,920,185,459,518,581
0,33:34.5,3,786,1642,0,5,938,187,492,502,578
0,33:34.5,1,745,1611,0,5,922,196,479,530,641
0,33:34.5,2,734,1656,0,5,921,185,459,527,573
0,33:34.5,3,787,1644,0,5,940,188,490,500,580
0,33:34.6,1,745,1611,0,5,924,193,477,529,641
0,33:34.6,2,734,1656,0,5,924,185,459,525,579
0,33:34.6,3,788,1646,0,5,938,183,492,498,574
0,33:34.6,1,744,1611,0,5,923,191,472,528,636
0,33:34.6,2,734,1655,0,5,923,185,457,529,579
0,33:34.6,3,788,1647,0,5,937,185,489,504,578
0,33:34.7,1,744,1611,0,5,923,187,476,523,641
0,33:34.7,2,735,1655,0,5,922,186,459,522,579
0,33:34.7,3,789,1649,0,5,937,189,491,501,580
0,33:34.7,1,744,1610,0,5,921,193,471,524,635
0,33:34.7,2,734,1656,0,5,923,186,459,528,577
0,33:34.7,3,789,1649,0,5,938,188,491,502,573
0,33:34.8,1,745,1610,0,5,922,190,477,526,637
0,33:34.8,2,734,1657,0,5,926,187,457,522,583
0,33:34.8,3,789,1650,0,5,937,185,488,501,571
0,33:34.8,1,744,1610,0,5,923,190,478,527,638
0,33:34.8,2,735,1657,0,5,925,184,457,522,583
0,33:34.8,3,790,1651,0,5,940,187,490,502,573
0,33:34.9,1,744,1610,0,5,923,189,478,523,640
0,33:34.9,2,735,1656,0,5,923,187,460,522,578
0,33:34.9,3,790,1651,0,5,942,191,492,502,579
0,33:34.9,1,744,1610,0,5,924,189,481,526,636
0,33:34.9,2,735,1656,0,5,925,188,457,522,576
0,33:34.9,3,790,1651,0,5,937,187,490,499,577
0,33:35.0,1,745,1608,0,5,920,189,479,525,640
0,33:35.0,2,735,1656,0,5,928,183,460,524,576
0,33:35.0,3,791,1652,0,5,934,186,490,501,568
0,33:35.0,1,746,1608,0,5,924,188,483,528,639
0,33:35.0,2,734,1657,0,5,923,184,460,525,587
0,33:35.0,3,791,1651,0,5,938,186,491,503,574
0,33:35.0,1,745,1609,0,5,923,194,479,527,640
0,33:35.0,2,734,1657,0,5,922,185,461,527,580
0,33:35.0,3,791,1652,0,5,939,184,491,499,579
0,33:35.1,1,745,1609,0,5,921,195,484,522,638
0,33:35.1,2,735,1657,0,5,921,185,460,526,574
0,33:35.1,3,791,1652,0,5,938,190,489,502,575
0,33:35.1,1,745,1610,0,5,922,189,484,526,634
0,33:35.1,2,735,1656,0,5,923,185,457,522,581
0,33:35.1,3,791,1652,0,5,935,188,488,501,572
0,33:35.2,1,745,1609,0,5,920,193,480,534,634
0,33:35.2,2,735,1657,0,5,921,186,457,521,578
0,33:35.2,3,791,1652,0,5,936,188,492,501,568
