,position,anchor_1,anchor_2,anchor_3,anchor_4,anchor_5,tag
0,1,924.0,191.0,491.0,526.0,637.0,1
1,1,923.0,187.0,458.0,524.0,569.0,2
2,1,940.0,188.0,489.0,502.0,579.0,3
3,1,923.0,192.0,472.0,522.0,635.0,1
4,1,924.0,184.0,456.0,524.0,576.0,2
5,1,935.0,188.0,489.0,501.0,571.0,3
6,1,924.0,193.0,474.0,524.0,639.0,1
7,1,919.0,185.0,460.0,525.0,577.0,2
8,1,937.0,186.0,492.0,502.0,577.0,3
9,1,920.0,192.0,477.0,532.0,639.0,1
10,1,920.0,185.0,457.0,523.0,583.0,2
11,1,941.0,186.0,487.0,502.0,577.0,3
12,1,922.0,194.0,478.0,529.0,642.0,1
13,1,924.0,185.0,458.0,523.0,575.0,2
14,1,940.0,187.0,492.0,502.0,573.0,3
15,1,922.0,195.0,474.0,530.0,642.0,1
16,1,923.0,188.0,457.0,522.0,578.0,2
17,1,939.0,186.0,489.0,504.0,577.0,3
18,1,924.0,195.0,471.0,523.0,636.0,1
19,1,922.0,188.0,458.0,523.0,582.0,2
20,1,938.0,187.0,489.0,502.0,581.0,3
21,1,924.0,193.0,477.0,525.0,634.0,1
22,1,927.0,186.0,460.0,520.0,580.0,2
23,1,938.0,187.0,489.0,502.0,578.0,3
24,1,924.0,199.0,478.0,527.0,641.0,1
25,1,925.0,185.0,459.0,526.0,579.0,2
26,1,940.0,186.0,489.0,501.0,569.0,3
27,1,922.0,193.0,474.0,529.0,639.0,1
28,1,920.0,185.0,459.0,518.0,581.0,2
29,1,938.0,187.0,492.0,502.0,578.0,3
30,1,922.0,196.0,479.0,530.0,641.0,1
31,1,921.0,185.0,459.0,527.0,573.0,2
32,1,940.0,188.0,490.0,500.0,580.0,3
33,1,924.0,193.0,477.0,529.0,641.0,1
34,1,924.0,185.0,459.0,525.0,579.0,2
35,1,938.0,183.0,492.0,498.0,574.0,3
36,1,923.0,191.0,472.0,528.0,636.0,1
37,1,923.0,185.0,457.0,529.0,579.0,2
38,1,937.0,185.0,489.0,504.0,578.0,3
39,1,923.0,187.0,476.0,523.0,641.0,1
40,1,922.0,186.0,459.0,522.0,579.0,2
41,1,937.0,189.0,491.0,501.0,580.0,3
42,1,921.0,193.0,471.0,524.0,635.0,1
43,1,923.0,186.0,459.0,528.0,577.0,2
44,1,938.0,188.0,491.0,502.0,573.0,3
45,1,922.0,190.0,477.0,526.0,637.0,1
46,1,926.0,187.0,457.0,522.0,583.0,2
47,1,937.0,185.0,488.0,501.0,571.0,3
48,1,923.0,190.0,478.0,527.0,638.0,1
49,1,925.0,184.0,457.0,522.0,583.0,2
50,1,940.0,187.0,490.0,502.0,573.0,3
51,1,923.0,189.0,478.0,523.0,640.0,1
52,1,923.0,187.0,460.0,522.0,578.0,2
53,1,942.0,191.0,492.0,502.0,579.0,3
54,1,924.0,189.0,481.0,526.0,636.0,1
55,1,925.0,188.0,457.0,522.0,576.0,2
56,1,937.0,187.0,490.0,499.0,577.0,3
57,1,920.0,189.0,479.0,525.0,640.0,1
58,1,928.0,183.0,460.0,524.0,576.0,2
59,1,934.0,186.0,490.0,501.0,568.0,3
60,1,924.0,188.0,483.0,528.0,639.0,1
61,1,923.0,184.0,460.0,525.0,587.0,2
62,1,938.0,186.0,491.0,503.0,574.0,3
63,1,923.0,194.0,479.0,527.0,640.0,1
64,1,922.0,185.0,461.0,527.0,580.0,2
65,1,939.0,184.0,491.0,499.0,579.0,3
66,1,921.0,195.0,484.0,522.0,638.0,1
67,1,921.0,185.0,460.0,526.0,574.0,2
68,1,938.0,190.0,489.0,502.0,575.0,3
69,1,922.0,189.0,484.0,526.0,634.0,1
70,1,923.0,185.0,457.0,522.0,581.0,2
71,1,935.0,188.0,488.0,501.0,572.0,3
72,1,920.0,193.0,480.0,534.0,634.0,1
73,1,921.0,186.0,457.0,521.0,578.0,2
74,1,936.0,188.0,492.0,501.0,568.0,3
75,1,922.0,189.0,479.0,519.0,640.0,1
76,1,918.0,187.0,459.0,522.0,580.0,2
77,1,937.0,187.0,490.0,502.0,576.0,3
78,1,920.0,190.0,477.0,523.0,638.0,1
