marker,time,tag,x,y,z,anchors,a_1311,a_1592,a_2713,a_8006,a_18178
0,42:24.3,1,1595,1916,0,5,204,871,1072,375,820
0,42:24.3,2,1614,1989,0,5,209,871,1082,468,820
0,42:24.3,52630,1620,1971,0,5,189,882,1117,401,817
0,42:24.4,1,1595,1915,0,5,205,872,1072,375,824
0,42:24.4,2,1614,1988,0,5,214,875,1082,401,827
0,42:24.4,52630,1622,1972,0,5,188,880,1116,398,817
0,42:24.4,1,1595,1914,0,5,206,870,1074,374,822
0,42:24.4,2,1615,1997,0,5,208,874,1078,417,819
0,42:24.4,52630,1623,1973,0,5,187,885,1121,396,817
0,42:24.4,1,1594,1912,0,5,203,872,1069,373,821
0,42:24.4,2,1614,1994,0,5,211,873,1082,421,821
0,42:24.4,52630,1620,1971,0,5,190,890,1121,396,815
0,42:24.5,1,1594,1916,0,5,199,870,1070,371,829
0,42:24.5,2,1615,2002,0,5,207,872,1082,433,825
0,42:24.5,52630,1618,1968,0,5,188,880,1120,399,815
0,42:24.5,1,1594,1917,0,5,206,871,1072,372,823
0,42:24.5,2,1615,2000,0,5,208,870,1079,468,821
0,42:24.5,52630,1620,1970,0,5,189,877,1119,399,818
0,42:24.6,1,1594,1917,0,5,202,872,1069,373,824
0,42:24.6,2,1615,1995,0,5,208,873,1080,416,823
0,42:24.6,52630,1622,1971,0,5,186,881,1118,398,815
0,42:24.6,1,1594,1916,0,5,202,873,1074,371,825
0,42:24.6,2,1615,1997,0,5,213,875,1083,396,828
0,42:24.6,52630,1623,1973,0,5,186,885,1119,396,823
0,42:24.6,1,1594,1915,0,5,203,873,1075,371,823
0,42:24.6,2,1616,2004,0,5,214,873,1083,388,825
0,42:24.6,52630,1625,1974,0,5,188,878,1115,398,817
0,42:24.7,1,1594,1915,0,5,203,871,1073,373,818
0,42:24.7,2,1618,2017,0,5,211,874,1081,406,825
0,42:24.7,52630,1621,1971,0,5,188,877,1116,399,818
