marker,tag,a_1311,a_1592,a_2713,a_8006,a_18178
0,1,940,185,453,515,560
0,2,855,185,505,484,581
0,3,939,191,483,527,587
0,1,939,186,454,510,555
0,2,852,186,503,487,583
0,3,935,190,484,527,585
0,1,939,188,458,509,568
0,2,854,183,500,483,580
0,3,936,193,484,525,588
0,1,942,186,457,509,561
0,2,852,181,503,484,583
0,3,936,192,484,527,586
0,1,940,185,457,510,550
0,2,852,185,502,484,582
0,3,941,192,484,528,586
0,1,942,185,459,512,561
0,2,854,184,502,484,582
0,3,939,194,482,527,586
0,1,940,187,454,513,550
0,2,852,182,504,486,581
0,3,935,190,484,529,584
0,1,943,186,452,509,556
0,2,852,184,502,484,579
0,3,936,191,485,527,584
0,1,939,194,452,510,554
0,2,855,185,503,490,576
0,3,934,193,484,526,583
0,1,940,186,454,507,560
0,2,854,184,505,485,575
0,3,933,193,484,527,586
0,1,940,184,455,513,552
0,2,853,184,502,484,575
0,3,935,192,479,525,586
0,1,942,186,454,512,552
0,2,852,187,503,484,577
0,3,938,195,483,527,587
0,1,940,184,452,509,560
0,2,853,184,503,486,575
0,3,939,192,484,530,586
0,1,942,193,452,511,554
0,2,856,185,503,484,575
0,3,936,191,484,529,587
0,1,943,191,455,507,561
0,2,853,185,500,486,575
0,3,937,192,483,526,586
0,1,941,186,452,507,560
0,2,856,187,500,484,577
0,3,939,192,484,529,586
0,1,938,185,453,511,554
0,2,855,184,501,487,576
0,3,938,192,484,528,588
0,1,939,185,458,509,566
0,2,852,184,501,488,576
0,3,941,193,483,526,585
0,1,940,188,454,512,561
0,2,855,184,505,486,580
0,3,942,194,483,528,586
0,1,940,184,453,513,550
0,2,854,182,506,485,584
0,3,938,192,484,525,583
0,1,941,181,453,513,550
0,2,852,183,504,489,585
0,3,937,190,482,528,588
0,1,939,189,456,508,552
0,2,856,182,503,484,583
0,3,933,190,482,527,586
0,1,940,183,458,512,560
0,2,851,185,503,484,583
0,3,936,192,485,526,588
0,1,941,185,454,513,555
0,2,854,187,498,485,583
0,3,940,194,480,526,586
0,1,939,186,459,514,554
0,2,854,184,504,484,580
0,3,935,193,482,524,588
0,1,939,194,454,512,560
0,2,851,182,501,488,584
0,3,936,191,483,526,586
0,1,941,188,455,506,556
0,2,851,184,502,485,580
0,3,939,193,483,525,587
0,1,942,187,454,506,556
0,2,853,185,504,485,578
0,3,940,191,478,526,587
0,1,940,191,458,513,557
0,2,852,188,504,490,576
0,3,942,190,484,526,586
0,1,939,187,455,511,563
0,2,854,183,505,485,577
0,3,937,191,484,527,586
0,1,941,188,454,509,559
0,2,854,181,504,486,577
0,3,938,192,483,530,587
0,1,939,454,509,564,
0,2,851,504,485,578,
0,3,935,480,529,589,
0,1,941,189,457,513,555
0,2,855,185,500,484,576
0,3,936,192,484,525,584
0,1,939,187,454,507,553
0,2,854,183,501,485,578
0,3,940,193,482,528,587
0,1,941,187,455,507,554
0,2,854,182,500,487,575
0,3,936,192,479,526,587
0,1,940,186,451,507,554
